LabelNr,English,Dutch
1,AUTOMATIC,AUTOMATISCH
2,MANUAL,HANDBEDIENING
3,INIT,INIT
4,SETTINGS,INSTELLING
5,PRODUCT,PRODUCT
6,GENERAL,ALGEMEEN
7,Timestamp,Tijdstempel
8,Message,Melding
9,Logged in:,Ingelogd:
10,Level:,Niveau:
11,Overview Actual Alarms,Overzicht aktuele alarmen
12,RESET,RESET
13,BACK,TERUG
14,Group,Groep
15,Machine Status:,Machine Status:
16,Product:,Product:
17,Total Products,Totaal producten:
18,Actual Kick-Offs,Aktuele Kicks-Offs
19,Production,Productie
20,Waiting,Wachten
21,Stopped,Gestopt
22,Fault,Fout
23,Machine Totals,Machine Totalen
24,Login,Inloggen
25,Logout,Uitloggen
26,On,Aan
27,Off,Uit
28,Close HMI,Afsluiten HMI
29,Up,Hoog
30,Down,Laag
31,Forward,Vooruit
32,Reverse,Achteruit
33,In,In
34,Out,Uit
35,Numpad,Toestenbord numeriek
36,Product Selection,Product selectie
37,Product Name,Productnaam
38,Load,Laden
39,Cancel,Annuleren
40,Save,Opslaan
41,Yes,Ja
42,No,Nee
43,Enter,Enter
44,Esc,Esc
45,invalid value!,Ongeldige waarde!
46,Enter a value between,Voer een waarde in tussen
47,and,en
48,Enter a value,Waarde invoeren
49,Invalid Password!,Ongeldig wachtwoord!
50,Are you sure?,Weet u het zeker?
51,SERVICE,SERVICE
52,Can't connect to Twincat,Geen connectie met Twincat
53,Start,Start
54,Stop,Stop
55,Clean Screen,Schoonmaak scherm
56,Clean Screen closes in,Schoonmaak scherm sluit over
57,seconds !!,seconden !!
58,Start init,Start init
59,Cancel init,Annuleren init
60,Open,Open
61,Close,Dicht
62,Save as new,Opslaan als nieuw
63,Delete,Verwijderen
64,Enable,Inschakelen
65,Info,Info
66,ALARMS,ALARMEN
67,Users,Gebruikers
68,OK,OK
69,User,Gebruiker
70,Login Code User,Inlogcode gebruiker
71,New Login Code:,Nieuwe Inlogcode:
72,Confirm Login Code:,Bevestig Inlogcode:
73,New Login code and Confirmation not equal,Nieuwe Inlogcode en bevestiging niet gelijk
74,Position,Positie
75,No connection with plc established hmi will close now,Spare075
76,Pause,Spare076
77,Cycle,Cycle
78,Vacuum,Spare078
79,Spare079,Spare079
80,More settings,Spare080
81,Spare81,Spare081
82,Spare082,Spare082
83,Spare083,Spare083
84,Spare084,Spare084
85,Spare085,Spare085
86,Machine pond manual,Spare086
87,Machine pond overview,Spare087
88,Machine pond settings,Spare088
89,Spraybar manual,Spare089
90,Spraybar overview,Spare090
91,Spraybar settings,Spare091
92,Pulp overview,Spare092
93,Spare093,Spare093
94,Transfer mold manual,Spare094
95,Transfer mold overview,Spare095
96,Transfer mold settings (1/2),Spare096
97,Transfer mold settings (2/2),Spare097
98,Formingmold overview,Spare098
99,Formingmold manual,Spare099
100,Formingmold settings,Spare100
101,Takeout unit A overview,Spare101
102,Takeout unit A manual,Spare102
103,Takeout unit A settings,Spare103
104,Takeout unit B overview,Spare104
105,Takeout unit B manual,Spare105
106,Takeout unit B settings,Spare106
107,Spare107,Spare107
108,Spare108,Spare108
