locale, en-US
1,AUTOMATIC
2,MANUAL
3,INIT
4,SETTINGS
5,PRODUCT
6,GENERAL
7,Timestamp
8,Message
9,Logged in:
10,Level:
11,Overview Actual Alarms
12,RESET
13,BACK
14,Group
15,Machine Status:
16,Product:
17,Total Products
18,Actual Kick-Offs
19,Production
20,Waiting
21,Stopped
22,Fault
23,Machine Totals
24,Login
25,Logout
26,On
27,Off
28,Close HMI
29,Up
30,Down
31,Forward
32,Reverse
33,In
34,Out
35,Numpad
36,Product Selection
37,Product Name
38,Load
39,Cancel
40,Save
41,Yes
42,No
43,Enter
44,Esc
45,invalid value!
46,Enter a value between
47,and
48,Enter a value
49,Invalid Password!
50,Are you sure?
51,SERVICE
52,Can't connect to Twincat
53,Start
54,Stop
55,Clean Screen
56,Clean Screen closes in
57,seconds !!
58,Start init
59,Cancel init
60,Open
61,Close
62,Save as new
63,Delete
64,Enable
65,Info
66,ALARMS
67,Users
68,OK
69,User
70,Login Code User
71,New Login Code:
72,Confirm Login Code:
73,New Login code and Confirmation not equal
74,Position
75,No connection with plc established hmi will close now
76,Pause
77,Cycle
78,Vacuum
79,Spare079
80,More settings
81,Spare81
82,Spare082
83,Spare083
84,Spare084
85,Spare085
86,Machine pond manual
87,Machine pond overview
88,Machine pond settings
89,Spraybar manual
90,Spraybar overview
91,Spraybar settings
92,Pulp overview
93,Spare093
94,Transfer mold manual
95,Transfer mold overview
96,Transfer mold settings (1/2)
97,Transfer mold settings (2/2)
98,Formingmold overview
99,Formingmold manual
100,Formingmold settings
101,Takeout unit A overview
102,Takeout unit A manual
103,Takeout unit A settings
104,Takeout unit B overview
105,Takeout unit B manual
106,Takeout unit B settings
107,Spare107
108,Spare108
109,Spare109
110,Enable Takeout A/B
111,Enable A-Side
112,Enable B-Side
113,Spare113
114,Spare114
115,Spare115
116,Spare116
117,Spare117
118,Spare118
119,Spare119
120,Drying mold A-Side overview
121,Drying mold B-Side overview
122,Drying mold A-Side settings
123,Drying mold B-side settings
124,Spare124
125,Spare125
126,Drying mold A-Side top overview
127,Drying mold A-Side bot overview
128,Drying mold B-Side top overview
129,Drying mold B-side bot overview
130,Active
131,PV
132,CV
133,SP
134,Spare134
135,PID settings A-Side Top 
136,PID settings B-Side Top
137,PID settings A-Side Bottom
138,PID settings B-Side Bottom
139,Spare139
140,Positions top mold
141,Top mold up stop
142,Top mold up slow
143,Top mold offset slow range
144,Top mold offset alarm
145,Top mold down open
146,Spare146
147,Spare147
148,Spare148
149,Spare149
150,Timing top mold
151,Top closed blow off time
152,Top closed vacuum time
153,Top pressure relief time
154,Top drying press. Lock time
155,Top drying time
156,Spare156
157,Spare157
158,Spare158
159,Spare159
160,Positions bottom mold
161,Bottom mold in stop
162,Bottom mold in slow
163,Bottom mold out stop
164,Bottom mold out slow
165,Bottom mold offset slow
166,Bottom mold offset alarm
167,Spare167
168,Spare168
169,Spare169
170,Timing horizontal cylinder
171,Guard time Error
172,Guard time Warning in
173,Guard time Warning out
174,Timing vertical cylinder
175,Vacuum sections in bottom molds
176,Vacuum section 1
177,Vacuum section 2
178,Vacuum section 3
179,Vacuum section 4
180,Vacuum section 5
181,Vacuum section 6
182,Spare182
183,Take out unit vacuum sections
184,vacuum take out 1
185,vacuum take out 2
186,vacuum take out 3
187,vacuum take out 4
188,vacuum take out 5
189,vacuum take out 6
190,Horizontal cylinder
191,Vertical cylinder
192,Manual control
193,Settings
194,Overview
195,Spare195
196,Spare196
197,Spare197
198,PWM settings
199,PWM period time
200,PID controller bottom mold
201,Gain
202,Ti
203,Tv
204,Td
205,1st order filter
206,Deadband
207,ROC. Limit setpoint
208,ROC. Limit OUT up
209,ROC. Limit OUT down
210,Output minimum
211,Output maximum
212,Setpoint minimum
213,Setpoint maximum
214,Auto
215,Setpoint Manual
216,Out
217,SP
218,PV
219,OUT
220,Active
221,PID Settings
222,Bottom mold cycle:
223,Top mold cycle:
224,spare224
225,Spare225
226,Spare226
227,Spare227
228,Spare228
229,Spare229
230,Pressure settings
231,Pressure up
232,Pressure up slow
233,Pressure down
234,Pressure down slow
235,Pressure lock transfer
236,Pressure open transfer
237,Pressure lock forming
238,Pressure open forming
239,Spare239
240,Flow settings
241,Flow up
242,Flow up slow
243,Flow down
244,Flow down slow
245,Flow transfer lock
246,Flow transfer open
247,Flow forming lock
248,Flow forming open
249,Spare249
250,Ramp times
251,Ramp time in
252,Ramp time in slow
253,Ramp time out
254,Ramp time out slow
255,Ramp time transfer lock
256,Ramp time transfer open
257,Ramp time forming lock
258,Ramp time forming open
259,Spare259
260,Positions
261,Transfer mold up stop
262,Transfer mold up slow
263,Start forming process pos. 
